period,sequence,team,player,explanation,scoringplay,score_home,score_visitor
"1","1-0987","WCAR","CJ Hyland","Cj Hyland missed second chance jump shot (blocked)","N","19","6"
"1","1-0991","DUKE","Patrick Ngongba","Patrick Ngongba defensive rebound","N","19","6"
"1","1-0997","DUKE","Cameron Boozer","Cameron Boozer missed 3-point field goal","N","19","6"
"1","1-1042","DUKE","Dame Sarr","Dame Sarr offensive rebound","N","19","6"
"1","1-1051","DUKE","Patrick Ngongba","Patrick Ngongba made layup","Y","21","6"
"1","1-1051","DUKE","Caleb Foster","Caleb Foster assist","N","21","6"
"1","1-1064","WCAR","Cord Stansberry","Cord Stansberry missed pullup jump shot","N","21","6"
"1","1-1066","DUKE","Cameron Boozer","Cameron Boozer defensive rebound","N","21","6"
"1","1-1077","WCAR","CJ Hyland","Samuel Dada personal two shots","N","21","6"
"1","1-1077","DUKE","Cameron Boozer","Cameron Boozer fouled on the play","N","21","6"
"1","1-1077","WCAR","CJ Hyland","Samuel Dada sub out","N","22","6"
"1","1-1077","WCAR","Chase McKey","Chase McKey sub in","N","22","6"
"1","1-1077","DUKE","Cameron Boozer","Cameron Boozer made free throw 1 of 2","Y","22","6"
"1","1-1077","DUKE","Cameron Boozer","Cameron Boozer made free throw 2 of 2","Y","23","6"
"1","1-1097","WCAR","Cord Stansberry","Cord Stansberry missed driving layup","N","23","6"
"1","1-1099","DUKE","Patrick Ngongba","Patrick Ngongba defensive rebound","N","23","6"
"1","1-11.8","DUKE","Dame Sarr","Dame Sarr defensive rebound","N","24","6"
"1","1-1156","WCAR","CJ Hyland","CJ Hyland personal three shots","N","23","6"
"1","1-1156","DUKE","Dame Sarr","Dame Sarr fouled on the play","N","23","6"
"1","1-1158","DUKE","Maliq Brown","Maliq Brown sub in","N","24","6"
"1","1-1158","DUKE","Patrick Ngongba","Patrick Ngongba sub out","N","24","6"
"1","1-1158","DUKE","Dame Sarr","Dame Sarr made free throw 1 of 3","Y","24","6"
"1","1-1158","DUKE","Dame Sarr","Dame Sarr missed free throw 2 of 3","N","24","6"
"1","1-1158","DUKE","Dame Sarr","Dame Sarr missed free throw 3 of 3","N|N","24|24","6|6"
"1","1-1158","DUKE","","Team offensive deadball rebound","","",""
"1","1-1159","WCAR","Marcus Kell","Marcus Kell defensive rebound","N","24","6"
"1","1-1177","WCAR","Marcus Kell","Marcus Kell missed 3-point field goal","N","24","6"
"1","1-1184","DUKE","Dame Sarr","Dame Sarr fouled on the play","N","24","6"
"1","1-1184","WCAR","Chase McKey","Chase Mckey personal two shots","N","24","6"
"1","1-1184","DUKE","Dame Sarr","Dame Sarr missed free throw 1 of 2","N","25","6"
"1","1-1184","DUKE","Dame Sarr","Dame Sarr made free throw 1 of 2","Y","25","6"
"1","1-1186","WCAR","Marcus Kell","Marcus Kell defensive rebound","N","25","6"
"1","1-1187","WCAR","CJ Hyland","Jump ball held ball","N","25","6"
"1","1-1187","DUKE","Dame Sarr","Dame Sarr sub out","N","25","6"
"1","1-1187","DUKE","Nikolas Khamenia","Nikolas Khamenia sub in","N","25","6"
"1","1-1245","WCAR","Julien Soumaoro","Julien Soumaoro made 3-point stepback jump shot","Y","25","9"
"1","1-1259","WCAR","CJ Hyland","Fischer Brown sub in","N","25","9"
"1","1-1259","WCAR","Cord Stansberry","Cord Stansberry sub out","N","25","9"
"1","1-1273","DUKE","Cameron Boozer","Cameron Boozer made layup","Y","27","9"
"1","1-1282","WCAR","CJ Hyland","CJ Hyland fouled on the play","N","27","9"
"1","1-1282","WCAR","Chase McKey","Chase McKey sub out","N","27","9"
"1","1-1282","DUKE","Cayden Boozer","Cayden Boozer sub in","N","27","9"
"1","1-1282","DUKE","Caleb Foster","Caleb Foster sub out","N","27","9"
"1","1-1282","WCAR","Abdulai Fanta Kabba","Abdulai Fanta Kabba sub in","N","27","9"
"1","1-1282","DUKE","Caleb Foster","Caleb Foster personal ","N","27","9"
"1","1-1295","WCAR","Marcus Kell","Marcus Kell missed 3-point field goal","N","27","9"
"1","1-1297","DUKE","Isaiah Evans","Isaiah Evans defensive rebound","N","27","9"
"1","1-13.8","DUKE","Cayden Boozer","Cayden Boozer turnover","N","29","12"
"1","1-13.8","WCAR","CJ Hyland","CJ Hyland steal","N","29","12"
"1","1-1341","DUKE","Isaiah Evans","Isaiah Evans missed 3-point field goal","N","27","9"
"1","1-1345","DUKE","Cameron Boozer","Cameron Boozer offensive rebound","N","27","9"
"1","1-1351","DUKE","Cameron Boozer","Cameron Boozer missed 3-point jump shot","N","27","9"
"1","1-1356","DUKE","Nikolas Khamenia","Nikolas Khamenia offensive rebound","N","27","9"
"1","1-1364","DUKE","Cayden Boozer","Cayden Boozer missed pullup jump shot","N","27","9"
"1","1-1367","DUKE","Cameron Boozer","Cameron Boozer offensive rebound","N","27","9"
"1","1-1368","DUKE","Cameron Boozer","Cameron Boozer made layup","Y","29","9"
"1","1-1378","DUKE","Cameron Boozer","Cameron Boozer personal ","N","29","11"
"1","1-1378","WCAR","Marcus Kell","Marcus Kell made layup","Y","29","11"
"1","1-1378","WCAR","Abdulai Fanta Kabba","Abdulai Fanta Kabba assist","N","29","11"
"1","1-1378","DUKE","Cameron Boozer","Cameron Boozer sub out","N","29","11"
"1","1-1378","WCAR","Marcus Kell","Marcus Kell fouled on the play","N","29","11"
"1","1-1378","WCAR","CJ Hyland","media timeout","N","0","0"
"1","1-1378","DUKE","Maliq Brown","Maliq Brown sub out","N","29","11"
"1","1-1378","DUKE","Darren Harris","Darren Harris sub in","N","29","11"
"1","1-1378","WCAR","Tayeshaun Smith","Tayeshaun Smith sub in","N","29","12"
"1","1-1378","DUKE","Patrick Ngongba","Patrick Ngongba sub in","N","29","11"
"1","1-1378","WCAR","Marcus Kell","Marcus Kell sub out","N","29","12"
"1","1-1378","WCAR","Marcus Kell","Marcus Kell made free throw 1 of 1","Y","29","12"
"1","1-1392","WCAR","Julien Soumaoro","Julien Soumaoro made 3-point pullup jump shot","Y","29","15"
"1","1-1456","WCAR","CJ Hyland","CJ Hyland steal","N","29","15"
"1","1-1456","DUKE","Isaiah Evans","Isaiah Evans turnover","N","29","15"
"1","1-1464","WCAR","Abdulai Fanta Kabba","Abdulai Fanta Kabba missed layup","N","29","15"
"1","1-1465","DUKE","Patrick Ngongba","Patrick Ngongba defensive rebound","N","29","15"
"1","1-1477","DUKE","Isaiah Evans","Isaiah Evans missed 3-point field goal","N","29","15"
"1","1-1479","WCAR","Abdulai Fanta Kabba","Abdulai Fanta Kabba defensive rebound","N","29","15"
"1","1-15.5","WCAR","Julien Soumaoro","Julien Soumaoro offensive rebound","N","29","15"
"1","1-1547","WCAR","CJ Hyland","Fischer Brown missed 3-point field goal","N","29","15"
"1","1-1560","DUKE","Cayden Boozer","Cayden Boozer missed 3-point field goal","N","31","15"
"1","1-1569","WCAR","Julien Soumaoro","Julien Soumaoro missed stepback jump shot","N","29","15"
"1","1-1572","DUKE","Isaiah Evans","Isaiah Evans defensive rebound","N","29","15"
"1","1-1578","WCAR","Cord Stansberry","Cord Stansberry sub in","N","30","15"
"1","1-1578","WCAR","Abdulai Fanta Kabba","Abdulai Fanta Kabba sub out","N","30","15"
"1","1-1578","WCAR","CJ Hyland","Samuel Dada sub in","N","30","15"
"1","1-1578","WCAR","CJ Hyland","CJ Hyland sub out","N","30","15"
"1","1-1578","DUKE","Maliq Brown","Maliq Brown sub in","N","30","15"
"1","1-1578","DUKE","Patrick Ngongba","Patrick Ngongba sub out","N","30","15"
"1","1-1578","WCAR","Julien Soumaoro","Julien Soumaoro sub out","N","30","15"
"1","1-1578","DUKE","Isaiah Evans","Isaiah Evans fouled on the play","N","29","15"
"1","1-1578","WCAR","CJ Hyland","CJ Hyland personal two shots","N","29","15"
"1","1-1578","DUKE","Dame Sarr","Dame Sarr sub in","N","31","15"
"1","1-1578","WCAR","Tahlan Pettway","Tahlan Pettway sub in","N","30","15"
"1","1-1578","DUKE","Isaiah Evans","Isaiah Evans sub out","N","31","15"
"1","1-1578","DUKE","Isaiah Evans","Isaiah Evans made free throw 1 of 2","Y","30","15"
"1","1-1578","DUKE","Isaiah Evans","Isaiah Evans made free throw 2 of 2","Y","31","15"
"1","1-1592","WCAR","Tahlan Pettway","Tahlan Pettway missed 3-point field goal","N","31","15"
"1","1-1594","DUKE","Cayden Boozer","Cayden Boozer defensive rebound","N","31","15"
"1","1-1645","WCAR","CJ Hyland","Samuel Dada defensive rebound","N","31","15"
"1","1-1662","DUKE","Cameron Boozer","Cameron Boozer sub in","N","31","15"
"1","1-1662","WCAR","Cord Stansberry","Cord Stansberry fouled on the play","N","31","15"
"1","1-1662","DUKE","Nikolas Khamenia","Nikolas Khamenia sub out","N","31","15"
"1","1-1662","DUKE","Nikolas Khamenia","Nikolas Khamenia personal two shots","N","31","15"
"1","1-1662","WCAR","Justin Johnson","Justin Johnson sub in","N","31","15"
"1","1-1662","WCAR","CJ Hyland","Fischer Brown sub out","N","31","15"
"1","1-1662","WCAR","Cord Stansberry","Cord Stansberry missed free throw 1 of 2","N","31","15"
"1","1-1662","WCAR","Cord Stansberry","Cord Stansberry made free throw 2 of 2","Y","31","16"
"1","1-1662","WCAR","CJ Hyland","Team offensive deadball rebound","N","31","15"
"1","1-1672","WCAR","Tayeshaun Smith","Tayeshaun Smith personal two shots","N","31","16"
"1","1-1672","DUKE","Cameron Boozer","Cameron Boozer fouled on the play","N","31","16"
"1","1-1672","DUKE","Cameron Boozer","Cameron Boozer made free throw 1 of 2","Y","32","16"
"1","1-1672","DUKE","Cameron Boozer","Cameron Boozer made free throw 2 of 2","Y","33","16"
"1","1-17.9","WCAR","Justin Johnson","Justin Johnson missed pullup jump shot","N","36","16"
"1","1-1743","WCAR","Justin Johnson","Justin Johnson missed 3-point field goal","N|N","33|33","16|16"
"1","1-1748","DUKE","","Jump ball held ball","","",""
"1","1-1748","WCAR","Tayeshaun Smith","Tayeshaun Smith sub out","N","33","16"
"1","1-1748","WCAR","Marcus Kell","Marcus Kell sub in","N","33","16"
"1","1-1748","WCAR","CJ Hyland","media timeout","N","0","0"
"1","1-1748","DUKE","Cayden Boozer","Cayden Boozer defensive rebound","N","33","16"
"1","1-1760","WCAR","Tahlan Pettway","Tahlan Pettway defensive rebound","N","36","16"
"1","1-1766","DUKE","Cameron Boozer","Cameron Boozer assist","N","36","16"
"1","1-1766","DUKE","Cayden Boozer","Cayden Boozer made 3-point field goal","Y","36","16"
"1","1-1793","DUKE","Dame Sarr","Dame Sarr defensive rebound","N","36","16"
"1","1-1798","DUKE","Dame Sarr","Dame Sarr missed driving layup","N","36","16"
"1","1-18.7","DUKE","Dame Sarr","Dame Sarr missed 3-point field goal","N","36","16"
